id,company_name,sector,region
c01,Apex Textiles,Manufacturing,Asia
c02,BlueRiver Logistics,Logistics,Asia
c03,Cedar Retail,Retail,North America
c04,Delta Components,Manufacturing,Europe
c05,Evergreen Foods,Food,North America
c06,Fusion Electronics,Technology,Asia
c07,Granite Wholesale,Wholesale,Europe
c08,Harbor Shipping,Logistics,Europe
c09,Ion Systems,Technology,North America
c10,Juniper Stores,Retail,Europe
c11,Keystone Materials,Materials,Asia
c12,Lumen Distribution,Wholesale,North America
